Rally Number,Start Time,End Time,Duration,Start Frame,End Frame,Start Seconds,End Seconds
1,00:00:08.220,00:00:22.240,00:14.019,411,1112,8.220,22.240
2,00:00:30.000,00:00:33.000,00:03.000,1500,1650,30.000,33.000
3,00:00:41.180,00:00:46.780,00:05.600,2059,2339,41.180,46.780
4,00:00:54.980,00:01:06.380,00:11.399,2749,3319,54.980,66.380
5,00:01:14.480,00:01:22.080,00:07.599,3724,4104,74.480,82.080
6,00:01:27.680,00:01:30.880,00:03.199,4384,4544,87.680,90.880
7,00:01:38.540,00:01:43.120,00:04.579,4927,5156,98.540,103.120
8,00:01:50.220,00:01:56.020,00:05.799,5511,5801,110.220,116.020
9,00:02:01.820,00:02:05.620,00:03.800,6091,6281,121.820,125.620
10,00:02:11.820,00:02:19.220,00:07.400,6591,6961,131.820,139.220
11,00:02:26.420,00:02:31.420,00:05.000,7321,7571,146.420,151.420
12,00:02:40.220,00:02:49.020,00:08.800,8011,8451,160.220,169.020
13,00:02:56.820,00:03:02.780,00:05.960,8841,9139,176.820,182.780
14,00:03:09.180,00:03:15.380,00:06.199,9459,9769,189.180,195.380
15,00:03:25.780,00:03:31.860,00:06.080,10289,10593,205.780,211.860
16,00:03:41.280,00:03:44.760,00:03.479,11064,11238,221.280,224.760
17,00:03:51.160,00:04:00.760,00:09.599,11558,12038,231.160,240.760
18,00:04:08.160,00:04:11.560,00:03.400,12408,12578,248.160,251.560
19,00:04:21.560,00:04:26.160,00:04.600,13078,13308,261.560,266.160
20,00:04:31.960,00:04:38.240,00:06.280,13598,13912,271.960,278.240
21,00:04:44.920,00:04:48.660,00:03.740,14246,14433,284.920,288.660
22,00:04:53.860,00:04:57.420,00:03.560,14693,14871,293.860,297.420
23,00:05:03.620,00:05:12.220,00:08.600,15181,15611,303.620,312.220
24,00:05:17.820,00:05:21.400,00:03.579,15891,16070,317.820,321.400
25,00:05:27.400,00:05:33.500,00:06.100,16370,16675,327.400,333.500
26,00:05:39.700,00:05:45.560,00:05.860,16985,17278,339.700,345.560
27,00:05:54.160,00:05:58.060,00:03.899,17708,17903,354.160,358.060
28,00:06:06.060,00:06:10.700,00:04.639,18303,18535,366.060,370.700
29,00:06:17.700,00:06:23.840,00:06.139,18885,19192,377.700,383.840
30,00:06:31.840,00:06:36.680,00:04.840,19592,19834,391.840,396.680
31,00:06:43.280,00:06:52.180,00:08.900,20164,20609,403.280,412.180
32,00:06:59.380,00:07:04.060,00:04.680,20969,21203,419.380,424.060
33,00:07:11.260,00:07:16.260,00:05.000,21563,21813,431.260,436.260
34,00:07:22.060,00:07:25.320,00:03.259,22103,22266,442.060,445.320
35,00:07:52.160,00:08:02.000,00:09.839,23608,24100,472.160,482.000
36,00:08:09.000,00:08:15.680,00:06.680,24450,24784,489.000,495.680
37,00:08:21.880,00:08:26.040,00:04.160,25094,25302,501.880,506.040
38,00:08:33.240,00:08:39.260,00:06.019,25662,25963,513.240,519.260
39,00:08:46.660,00:08:54.980,00:08.320,26333,26749,526.660,534.980
40,00:09:00.140,00:09:06.220,00:06.080,27007,27311,540.140,546.220
41,00:09:13.220,00:09:17.300,00:04.079,27661,27865,553.220,557.300
42,00:09:25.700,00:09:33.340,00:07.639,28285,28667,565.700,573.340
43,00:09:42.340,00:09:50.820,00:08.480,29117,29541,582.340,590.820
44,00:09:58.620,00:10:05.840,00:07.220,29931,30292,598.620,605.840
45,00:10:13.240,00:10:18.780,00:05.539,30662,30939,613.240,618.780
46,00:10:28.180,00:10:33.260,00:05.080,31409,31663,628.180,633.260
47,00:10:38.660,00:10:43.840,00:05.180,31933,32192,638.660,643.840
48,00:10:49.040,00:10:53.540,00:04.500,32452,32677,649.040,653.540
49,00:10:59.360,00:11:05.300,00:05.939,32968,33265,659.360,665.300
50,00:11:12.500,00:11:20.580,00:08.080,33625,34029,672.500,680.580
51,00:11:26.380,00:11:32.420,00:06.039,34319,34621,686.380,692.420
52,00:11:39.420,00:11:46.120,00:06.700,34971,35306,699.420,706.120
53,00:11:52.520,00:11:58.320,00:05.800,35626,35916,712.520,718.320
54,00:12:05.920,00:12:10.440,00:04.520,36296,36522,725.920,730.440
55,00:12:16.840,00:12:22.520,00:05.679,36842,37126,736.840,742.520
56,00:12:28.320,00:12:32.460,00:04.139,37416,37623,748.320,752.460
57,00:12:40.260,00:12:43.660,00:03.399,38013,38183,760.260,763.660
58,00:12:51.660,00:12:57.320,00:05.660,38583,38866,771.660,777.320
59,00:13:02.720,00:13:07.820,00:05.100,39136,39391,782.720,787.820
60,00:13:21.620,00:13:25.620,00:04.000,40081,40281,801.620,805.620
61,00:13:32.420,00:13:41.360,00:08.940,40621,41068,812.420,821.360
62,00:13:47.760,00:13:51.720,00:03.960,41388,41586,827.760,831.720
63,00:13:57.320,00:14:02.200,00:04.879,41866,42110,837.320,842.200
64,00:14:07.800,00:14:13.320,00:05.520,42390,42666,847.800,853.320
65,00:14:20.720,00:14:25.940,00:05.220,43036,43297,860.720,865.940
66,00:15:23.140,00:15:28.660,00:05.519,46157,46433,923.140,928.660
67,00:15:36.620,00:15:42.620,00:06.000,46831,47131,936.620,942.620
68,00:15:50.220,00:15:57.740,00:07.519,47511,47887,950.220,957.740
69,00:16:02.940,00:16:14.140,00:11.199,48147,48707,962.940,974.140
70,00:16:20.940,00:16:27.220,00:06.279,49047,49361,980.940,987.220
71,00:16:34.420,00:16:38.140,00:03.720,49721,49907,994.420,998.140
72,00:16:43.540,00:16:48.620,00:05.080,50177,50431,1003.540,1008.620
73,00:16:55.620,00:17:01.920,00:06.299,50781,51096,1015.620,1021.920
74,00:17:07.920,00:17:12.180,00:04.259,51396,51609,1027.920,1032.180
75,00:17:19.980,00:17:33.460,00:13.480,51999,52673,1039.980,1053.460
76,00:17:44.660,00:17:48.460,00:03.799,53233,53423,1064.660,1068.460
77,00:17:55.260,00:18:01.320,00:06.059,53763,54066,1075.260,1081.320
78,00:18:07.120,00:18:12.100,00:04.980,54356,54605,1087.120,1092.100
79,00:18:31.880,00:18:40.160,00:08.279,55594,56008,1111.880,1120.160
80,00:18:46.760,00:18:53.540,00:06.779,56338,56677,1126.760,1133.540
81,00:19:02.540,00:19:08.100,00:05.559,57127,57405,1142.540,1148.100
82,00:19:17.500,00:19:27.460,00:09.960,57875,58373,1157.500,1167.460
83,00:19:43.660,00:19:48.800,00:05.139,59183,59440,1183.660,1188.800
84,00:19:55.400,00:20:07.780,00:12.379,59770,60389,1195.400,1207.780
85,00:20:15.380,00:20:21.920,00:06.539,60769,61096,1215.380,1221.920
86,00:20:28.120,00:20:45.000,00:16.880,61406,62250,1228.120,1245.000
87,00:20:53.600,00:21:03.440,00:09.840,62680,63172,1253.600,1263.440
88,00:21:10.640,00:21:52.780,00:42.139,63532,65639,1270.640,1312.780
89,00:22:05.980,00:22:15.760,00:09.779,66299,66788,1325.980,1335.760
90,00:22:26.160,00:22:31.740,00:05.579,67308,67587,1346.160,1351.740
91,00:22:39.940,00:22:47.940,00:08.000,67997,68397,1359.940,1367.940
92,00:22:56.540,00:23:06.680,00:10.140,68827,69334,1376.540,1386.680
93,00:23:12.080,00:23:23.140,00:11.060,69604,70157,1392.080,1403.140
94,00:23:33.540,00:23:41.380,00:07.840,70677,71069,1413.540,1421.380
